# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	E_total (J)	E_Zeeman (J)	E_exch (J)	E_anis (J)	E_demag (J)
0	-0.9999956	2.5789504e-10	0	-1.04	0	0	-3.471791e-16	-3.4735596e-16	1.4944563e-23	-1.5006727e-21	1.7834055e-19
0	-0.9999971	2.0693847e-10	0	-1.0500001	0	0	-3.505191e-16	-3.5069642e-16	1.17848286e-23	-1.0119835e-21	1.7836545e-19
0	-0.999998	2.2117774e-10	0	-1.0599996	0	0	-3.5385903e-16	-3.540367e-16	9.710004e-24	-7.2906717e-22	1.7838292e-19
0	-0.99999845	1.7577761e-10	0	-1.0699998	0	0	-3.5719906e-16	-3.5737689e-16	8.255044e-24	-5.5366015e-22	1.7839573e-19
0	-0.99999875	1.5107204e-10	0	-1.08	0	0	-3.6053897e-16	-3.6071695e-16	7.174034e-24	-4.346848e-22	1.7840571e-19
0	-0.99999905	1.4324897e-10	0	-1.09	0	0	-3.6387895e-16	-3.64057e-16	6.34217e-24	-3.5157117e-22	1.7841355e-19
0	-0.99999917	1.1793588e-10	0	-1.1000003	0	0	-3.6721893e-16	-3.6739705e-16	5.6819852e-24	-2.9095068e-22	1.7841995e-19
0	-0.9999994	1.0814105e-10	0	-1.1099998	0	0	-3.7055891e-16	-3.7073716e-16	5.144439e-24	-2.4454383e-22	1.7842535e-19
0	-0.99999946	1.07963416e-10	0	-1.12	0	0	-3.7389895e-16	-3.7407717e-16	4.696467e-24	-2.0877108e-22	1.7842986e-19
0	-0.9999995	1.2414603e-10	0	-1.13	0	0	-3.7723883e-16	-3.7741713e-16	4.323397e-24	-1.8068453e-22	1.7843378e-19
0	-0.9999995	1.0264145e-10	0	-1.1400002	0	0	-3.805788e-16	-3.8075709e-16	4.0003227e-24	-1.577911e-22	1.7843718e-19
0	-0.9999996	7.1247896e-11	0	-1.1499997	0	0	-3.8391874e-16	-3.8409704e-16	3.723003e-24	-1.3917533e-22	1.7844018e-19
0	-0.9999996	8.121326e-11	0	-1.16	0	0	-3.8725873e-16	-3.8743705e-16	3.4846988e-24	-1.2405701e-22	1.7844274e-19
0	-0.99999964	5.935519e-11	0	-1.17	0	0	-3.9059874e-16	-3.9077706e-16	3.2687645e-24	-1.1089529e-22	1.7844511e-19
0	-0.9999997	6.515144e-11	0	-1.1800002	0	0	-3.9393872e-16	-3.9411707e-16	3.0797934e-24	-9.987659e-23	1.7844721e-19
0	-0.9999999	5.2764904e-11	0	-1.1900004	0	0	-3.9727873e-16	-3.9745708e-16	2.9109847e-24	-9.04565e-23	1.7844916e-19
